"ID","recall2","impact","impact2","impact_pos_box","impact_neu_box","impact_neg_box","connect1","connect2","connect3","approach1","approach.2","approach3","course_inclusion1","course_inclusion2","course_inclusion3","normalize1","normalize2","normalize3","represent1","represent2","represent3","coursecohesion_sob1","coursecohesion_sob2","coursecohesion_sob3","coursecohesion_mor1","coursecohesion_mor2","coursecohesion_mor3","science_sob1","science_sob2","science_sob3","science_mor1","science_mor2","science_mor3","competence1","competence2","competence3","appropriate","appropriate_box","notappropriate_box","gender","race","religion","lgbtq","connect_mean","approach_mean","course_inclusion_mean","normalize_mean","represent_mean","course_belonging_mean","course_morale_mean","sci_belonging_mean","sci_morale_mean","competence_mean","gender3","race4","religion4","lgbtq2","anxdep","lgbtq_accept_uni2","manner","appropriate2","instructor"
"bravo_11",1,"very positive","positive","It made the instructor more relatable,It made me more comfortable approaching the instructor,It helped to create an inclusive classroom environment,It helped to normalize LGBTQ+ identities,It increased the representation of LGBTQ+ individuals in science","","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,"Strongly agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Nonbinary or genderqueer","White or European American","Not religious","Yes",5,5,5,5,5,5,5,5,5,1,"not_man","white","nonreligious","yes","1","low","brief","appropriate","bravo"
"bravo_12",1,"none","neutral","","It did not change the instructor’s teaching ability,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,"Strongly agree","It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Christian - Other, please specify","No",3.33333333333333,3,4,3.33333333333333,3,3,3,3,3.66666666666667,3,"not_man","white","christian","no","0","low","brief","appropriate","bravo"
"bravo_13",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Somewhat disagree","","None of these options reflect why instructors revealing their LGBTQ+ identities is not appropriate","Man","White or European American","Decline to state","No",3,3,3,3,3,3,3,3,3,3,"man","white",NA,"no","0","low","brief","inappropriate","bravo"
"bravo_14",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Christian - Non-denominational","No",3,3,3,3,3,3,3,3,3,3,"not_man","white","christian","no","0","low","brief","appropriate","bravo"
"bravo_15",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,"Agree","It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Agnostic","Yes",3.33333333333333,3.33333333333333,4,3.33333333333333,3,3.33333333333333,3.33333333333333,3,3,3,"not_man","white","nonreligious","yes","1","low","brief","appropriate","bravo"
"bravo_16",1,"slightly positive","positive","It made me more comfortable approaching the instructor,It helped to create an inclusive classroom environment,It increased the representation of LGBTQ+ individuals in science","","",3,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,3,4,3,4,3,3,3,3,3,4,4,4,4,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Not religious","No",3.66666666666667,4,4,3.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667,3,3.33333333333333,4,"not_man","white","nonreligious","no","0","low","brief","appropriate","bravo"
"bravo_17",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Somewhat agree","It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Christian - Protestant","No",3,3,3.33333333333333,3,3,3,3,3,3,3,"not_man","white","christian","no","0","low","brief","appropriate","bravo"
"bravo_18",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Christian - Non-denominational","No",3,3,3.33333333333333,3,3,3,3,3,3,3,"not_man","white","christian","no","0","low","brief","appropriate","bravo"
"bravo_19",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Somewhat disagree","","It is not relevant to course material,It does not matter whether instructors reveal LGBTQ+ identities","Woman","White or European American","Decline to state","No",3,3,3,3,3,3,3,3,3,3,"not_man","white",NA,"no","1","low","brief","inappropriate","bravo"
"bravo_20",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Strongly disagree","","It is not relevant to course material,It does not matter whether instructors reveal LGBTQ+ identities,It would feel forced","Woman","White or European American","Christian - Non-denominational","No",3,3,3,3,3,3,3,3,3,3,"not_man","white","christian","no","0","low","brief","inappropriate","bravo"
"bravo_21",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Christian - Other, please specify","No",3,3,3,3,3,3,3,3,3,3,"not_man","white","christian","no","0","low","brief","appropriate","bravo"
"bravo_22",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Strongly agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","Hispanic, Latina/o/x, or Spanish origin","Christian - Catholic","No",3,3.33333333333333,5,3,3,3,3,3,3,3,"not_man","peer","christian","no","1","low","brief","appropriate","bravo"
"bravo_23",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,"Agree","It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,It does not impact teaching or learning","","Woman","White or European American","Christian - Non-denominational","No",3,3,4,3,3,3,3,3,3.66666666666667,5,"not_man","white","christian","no","1","low","brief","appropriate","bravo"
"bravo_24",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Man","White or European American","Not religious","No",3,3,3.66666666666667,3,3,3,3,3,3,3,"man","white","nonreligious","no","0","low","brief","appropriate","bravo"
"bravo_25",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",3,3,4,3,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,5,5,"Somewhat agree","It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,It helps to build community and trust in the classroom,It does not impact teaching or learning","","Man","White or European American","Christian - Non-denominational","No",3.33333333333333,3,4,3.33333333333333,4,3,3,3,3.33333333333333,4.33333333333333,"man","white","christian","no","0","low","brief","appropriate","bravo"
"bravo_26",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Not religious","No",3,3,4,3,3,3,3,3,3,3,"not_man","white","nonreligious","no","0","low","brief","appropriate","bravo"
"bravo_27",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Somewhat agree","It normalizes LGBTQ+ identities,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,It does not impact teaching or learning","","Nonbinary or genderqueer","White or European American","Decline to state","Yes",3,3,3,3,3.33333333333333,3,3,3,3,3,"not_man","white",NA,"yes","1","low","brief","appropriate","bravo"
"bravo_28",1,"very positive","positive","It made the instructor more relatable,It made me more comfortable approaching the instructor,It helped to create an inclusive classroom environment,It helped to normalize LGBTQ+ identities,It increased the representation of LGBTQ+ individuals in science","","",3,3,4,3,3,3,4,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Atheist","Yes",3.33333333333333,3,4,4.33333333333333,3,3,3,3,3,3,"not_man","white","nonreligious","yes","1","low","brief","appropriate","bravo"
"bravo_29",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Man","White or European American","Not religious","No",3,3,4,3,3,3,3,3,3,3,"man","white","nonreligious","no","1","low","brief","appropriate","bravo"
"bravo_30",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Somewhat agree","It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,It does not impact teaching or learning","","Woman","White or European American","Not religious","No",3,3,4,3,3,3,3,3,3,3,"not_man","white","nonreligious","no","1","low","brief","appropriate","bravo"
"bravo_31",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information","","Woman","White or European American","Not religious","No",3,3,4,3,3,3,3,3,3,3,"not_man","white","nonreligious","no","1","low","brief","appropriate","bravo"
"bravo_32",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Disagree","","It is not relevant to course material","Man","White or European American","Christian - Other, please specify","No",3,3,3,3,3,3,3,3,3,3,"man","white","christian","no","1","low","brief","inappropriate","bravo"
"bravo_33",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information","","Woman","White or European American","Not religious","No",3,3,4,3,3,3,3,3,3,3,"not_man","white","nonreligious","no","0","low","brief","appropriate","bravo"
"bravo_34",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Agnostic","No",3,3,4,3,3,3.33333333333333,3,3,3,3,"not_man","white","nonreligious","no","1","low","brief","appropriate","bravo"
"bravo_35",1,"slightly positive","positive","It made the instructor more relatable,It helped to create an inclusive classroom environment,It increased the representation of LGBTQ+ individuals in science","","",3,3,4,4,3,3,4,4,4,3,3,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,"Strongly agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Atheist","Yes",3.33333333333333,3.33333333333333,4,3.33333333333333,4,3,3.66666666666667,4,3.66666666666667,3,"not_man","white","nonreligious","yes","1","low","brief","appropriate","bravo"
"bravo_36",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Somewhat disagree","","It is not relevant to course material,It does not matter whether instructors reveal LGBTQ+ identities","Woman","White or European American","Christian - Non-denominational","No",3,3,3,3,3,3,3,3,3,3,"not_man","white","christian","no","1","low","brief","inappropriate","bravo"
"bravo_37",1,"none","neutral","","It did not change the instructor’s teaching ability,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,"Strongly agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,It does not impact teaching or learning","","Woman","Multiracial","Christian - Catholic","No",3,3,3,3.33333333333333,3,3,3,3,3,NA,"not_man","other","christian","no","0","low","brief","appropriate","bravo"
"bravo_38",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",4,4,3,3,3,4,5,4,5,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,"Somewhat disagree","","It is not relevant to course material,It would feel forced","Woman","White or European American","Atheist","Yes",3.66666666666667,3.33333333333333,4.66666666666667,3,3.66666666666667,3.33333333333333,3,3.33333333333333,3,3,"not_man","white","nonreligious","yes",NA,"low","brief","inappropriate","bravo"
"bravo_39",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content","",4,4,4,4,3,4,4,4,4,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,5,5,5,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Woman","White or European American","Christian - Catholic","No",4,3.66666666666667,4,3.66666666666667,3.33333333333333,3.33333333333333,3,3,3.33333333333333,5,"not_man","white","christian","no","1","low","brief","appropriate","bravo"
"bravo_40",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",4,3,4,3,3,4,4,5,5,4,4,5,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,NA,NA,NA,"Agree","It empowers the LGBTQ+ community,It normalizes LGBTQ+ identities,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,It helps to build community and trust in the classroom,It does not impact teaching or learning","","Woman","White or European American","Christian - Catholic","No",3.66666666666667,3.33333333333333,4.66666666666667,4.33333333333333,4,3,3.33333333333333,3,3,NA,"not_man","white","christian","no","0","low","brief","appropriate","bravo"
"bravo_41",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Somewhat disagree","","It is not relevant to course material,It does not matter whether instructors reveal LGBTQ+ identities","Man","White or European American","Not religious","No",3,3,3,3,3,3,3,3,3,3,"man","white","nonreligious","no","0","low","brief","inappropriate","bravo"
"bravo_42",1,"none","neutral","","It did not change the instructor’s teaching ability,It was not relevant to course content,The instructor coming out did not affect you because of your familiarity with the LGBTQ+ community","",3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,"Somewhat agree","It normalizes LGBTQ+ identities,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,It helps to build community and trust in the classroom,It does not impact teaching or learning","","Woman","White or European American","Christian - Non-denominational","No",3,4,3.33333333333333,3,3,3,3,3,3,4.66666666666667,"not_man","white","christian","no","1","low","brief","appropriate","bravo"
"bravo_43",1,"none","neutral","","It did not change the instructor’s teaching ability","",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Agree","It normalizes LGBTQ+ identities,It helps students get to know their instructor,It is the instructor’s decision whether or not to reveal their LGBTQ+ identity,An instructor’s LGBTQ+ identity is an important part of who they are,Sharing an LGBTQ+ identity is the same as sharing other personal information,It does not impact teaching or learning","","Man","White or European American","Christian - Protestant","No",3,3,3,3,3,3,3,3,3,3,"man","white","christian","no","0","low","brief","appropriate","bravo"
